D3Q16A,HP A3 E72525,HP LaserJet MFP E72525dn," 2,182 "," 9,297 "
Z8Z07A,HP A3 E72525,HP LaserJet MFP E72525z," 2,848 "," 12,137 "
Z8Z08A,HP A3 E72530,HP LaserJet MFP E72530dn," 2,500 "," 10,651 "
Z8Z09A,HP A3 E72530,HP LaserJet MFP E72530z," 3,166 "," 13,491 "
Z8Z10A,HP A3 E72535,HP LaserJet MFP E72535dn," 2,818 "," 12,005 "
Z8Z11A,HP A3 E72535,HP LaserJet MFP E72535z," 3,484 "," 14,845 "
Z8Z00A,HP A3 E77822,HP Color LaserJet MFP E77822dn," 2,781 "," 11,851 "
Z8Z01A,HP A3 E77822,HP Color LaserJet MFP E77822z," 3,448 "," 14,691 "
Z8Z02A,HP A3 E77825,HP Color LaserJet MFP E77825dn," 2,996 "," 12,764 "
Z8Z03A,HP A3 E77825,HP Color LaserJet MFP E77825z," 3,662 "," 15,603 "
Z8Z04A,HP A3 E77830,HP Color LaserJet MFP E77830dn," 3,345 "," 14,253 "
Z8Z05A,HP A3 E77830,HP Color LaserJet MFP E77830z," 4,012 "," 17,093 "
Z8Z18A,HP A3 E82540,HP LaserJet Managed MFP E82540dn," 4,235 "," 18,044 "
Z8Z19A,HP A3 E82540,HP LaserJet Managed MFP E82540z," 4,901 "," 20,883 "
Z8Z20A,HP A3 E82550,HP LaserJet Managed MFP E82550dn," 5,383 "," 22,936 "
Z8Z21A,HP A3 E82550,HP LaserJet Managed MFP E82550z," 6,049 "," 25,775 "
Z8Z22A,HP A3 E82560,HP LaserJet Managed MFP E82560dn," 6,408 "," 27,304 "
Z8Z23A,HP A3 E82560,HP LaserJet Managed MFP E82560z," 7,075 "," 30,144 "
Z8Z12A,HP A3 E87640,HP Color LaserJet MFP E87640dn," 5,030 "," 21,434 "
Z8Z13A,HP A3 E87640,HP Color LaserJet MFP E87640z," 5,697 "," 24,273 "
Z8Z14A,HP A3 E87650,HP Color LaserJet MFP E87650dn," 6,189 "," 26,369 "
Z8Z15A,HP A3 E87650,HP Color LaserJet MFP E87650z," 6,855 "," 29,209 "
Z8Z16A,HP A3 E87660,HP Color LaserJet MFP E87660dn," 7,214 "," 30,738 "
Z8Z17A,HP A3 E87660,HP Color LaserJet MFP E87660z," 7,881 "," 33,578 "
3GY20A,HP LJ E52545,HP LaserJet Managed MFP E52545c," 1,711 "," 2,718 "
3GY19A,HP LJ E52545,HP LaserJet Managed MFP E52545dn," 1,339 "," 2,104 "
3GX98A,HP LJ E55040,HP Color LaserJet Managed E55040dw, 658 ," 1,347 "
3GY25A,HP LJ E57540,HP Color LaserJet Managed E57540dn," 1,616 "," 2,750 "
3GY26A,HP LJ E57540,HP Color LaserJet Managed E57540c," 1,983 "," 3,367 "
L3U44A,HP LJ E55650,HP PageWide Managed Color E55650dn, 637 ," 1,628 "
L3U42A,HP LJ E58650,HP PageWide Managed Color MFP E58650dn," 1,283 "," 3,477 "
L3U43A,HP LJ E58650,HP PageWide Managed Color Flow MFP E58650z," 1,802 "," 4,869 "
M0P33A,HP LJ E60055 MFP,HP LaserJet Managed E60055dn, 768 ," 1,819 "
M0P35A,HP LJ E60065 MFP,HP LaserJet Managed E60065dn," 1,011 "," 2,394 "
M0P36A,HP LJ E60065 MFP,HP LaserJet Managed E60065x," 1,254 "," 2,969 "
M0P39A,HP LJ E60075 MFP,HP LaserJet Managed E60075dn," 1,456 "," 3,448 "
M0P40A,HP LJ E60075 MFP,HP LaserJet Managed E60075x," 1,699 "," 4,023 "
J8J66A,HP LJ E62555 MFP,HP LaserJet Managed MFP E62555dn," 1,420 "," 3,363 "
J8J73A,HP LJ E62565 MFP,HP LaserJet Managed MFP E62565z," 2,467 "," 5,842 "
L3U55A,HP LJ E65050,HP Color LaserJet Managed E65050dn," 1,043 "," 2,468 "
L3U56A,HP LJ E65060,HP Color LaserJet Managed E65060dn," 1,444 "," 3,418 "
L3U66A,HP LJ E67550 MFP,HP Color LaserJet Managed MFP E67550dh," 2,549 "," 6,036 "
L3U70A,HP LJ E67560 MFP,HP Color LaserJet Managed MFP E67560z," 3,731 "," 8,836 "
CF456A,HP LJ M201,HP LaserJet Pro M201, 208 , 254 
G3Q46A,HP LJ M203,HP LaserJet Pro M203dn, 200 , 400 
G3Q47A,HP LJ M203,HP LaserJet Pro M203dw, 155 , 216 
CF484A,HP LJ M225 MFP,HP LaserJet Pro MFP M225dn, 252 , 356 
CF485A,HP LJ M225 MFP,HP LaserJet Pro MFP M225dw, 343 , 420 
G3Q74A,HP LJ M227 MFP,HP LaserJet Pro MFP M227sdn, 200 , 400 
G3Q75A,HP LJ M227 MFP,HP LaserJet Pro MFP M227fdw, 247 , 344 
G3Q79A,HP LJ M227 MFP,HP LaserJet Pro MFP M227fdn, 219 , 305 
B4A21A,HP LJ M252 MFP,HP Color LaserJet Pro M252n, 200 , 400 
B4A22A,HP LJ M252 MFP,HP Color LaserJet Pro M252dw, 316 , 382 
T6B60A,HP LJ M254,HP Color LaserJet Pro M254dw, 274 , 382 
B3Q11A,HP LJ M277 MFP,HP Color LaserJet Pro MFP M277dw, 460 , 548 
C5F93A,HP LJ M402,HP LaserJet Pro M402n, 281 , 344 
C5F94A,HP LJ M402,HP LaserJet Pro M402dn, 194 , 313 
C5F95A,HP LJ M402,HP LaserJet Pro M402dw, 357 , 446 
F6J41A,HP LJ M403,HP LaserJet Pro M403n, 200 , 400 
F6J42A,HP LJ M403,HP LaserJet Pro M403d, 200 , 400 
F6J43A,HP LJ M403,HP LaserJet Pro M403dn, 200 , 400 
F6J44A,HP LJ M403,HP LaserJet Pro M403dw, 200 , 400 
F6W14A,HP LJ M426 MFP,HP LaserJet Pro MFP M426fdn, 459 , 574 
F6W15A,HP LJ M426 MFP,HP LaserJet Pro MFP M426fdw, 459 , 574 
CF388A,HP LJ M452,HP Color LaserJet Pro M452nw, 417 , 510 
CF389A,HP LJ M452,HP Color LaserJet Pro M452dn, 469 , 574 
CF394A,HP LJ M452,HP Color LaserJet Pro M452dw, 521 , 638 
CF385A,HP LJ M476 MFP,HP Color LaserJet Pro MFP M476nw, 492 , 983 
CF386A,HP LJ M476 MFP,HP Color LaserJet Pro MFP M476dn, 542 ," 1,084 "
CF387A,HP LJ M476 MFP,HP Color LaserJet Pro MFP M476dw, 510 ," 1,020 "
CF377A,HP LJ M477 MFP,HP Color LaserJet Pro MFP M477fnw, 541 , 676 
CF378A,HP LJ M477 MFP,HP Color LaserJet Pro MFP M477fdn, 605 , 740 
CF379A,HP LJ M477 MFP,HP Color LaserJet Pro MFP M477fdw, 643 , 804 
J8H61A,HP LJ M501,HP LaserJet Pro M501dn, 507 , 702 
F2A68A,HP LJ M506,HP LaserJet Enterprise M506n, 695 , 829 
F2A69A,HP LJ M506,HP LaserJet Enterprise M506dn, 802 , 957 
F2A70A,HP LJ M506,HP LaserJet Enterprise M506x, 749 ," 1,213 "
F2A76A,HP LJ M527 MFP,HP LaserJet Enterprise Flow MFP M527dn," 2,000 "," 2,114 "
F2A77A,HP LJ M527 MFP,HP LaserJet Enterprise Flow MFP M527f," 2,015 "," 2,466 "
F2A78A,HP LJ M527 MFP,HP LaserJet Enterprise Flow MFP M527z," 2,494 "," 3,054 "
B5L23A,HP LJ M552,HP Color LaserJet Enterprise M552dn, 200 , 400 
B5L24A,HP LJ M553,HP Color LaserJet Enterprise M553n, 628 , 758 
B5L25A,HP LJ M553,HP Color LaserJet Enterprise M553dn, 848 ," 1,012 "
B5L27A,HP LJ M553,HP Color LaserJet Enterprise M553dh," 1,189 "," 1,645 "
B5L26A,HP LJ M553,HP Color LaserJet Enterprise M553x," 1,273 "," 1,519 "
B5L46A,HP LJ M577 MFP,HP Color LaserJet Enterprise Flow MFP M577," 2,456 "," 2,550 "
E6B67A,HP LJ M604,HP LaserJet Enterprise M604n, 549 ," 1,098 "
E6B68A,HP LJ M604,HP LaserJet Enterprise M604dn, 614 ," 1,229 "
E6B69A,HP LJ M605,HP LaserJet Enterprise M605n, 799 ," 1,598 "
E6B70A,HP LJ M605,HP LaserJet Enterprise M605dn, 775 ," 1,550 "
E6B71A,HP LJ M605,HP LaserJet Enterprise M605x, 575 ," 1,150 "
E6B72A,HP LJ M606,HP LaserJet Enterprise M606dn," 1,715 "," 3,430 "
E6B73A,HP LJ M606,HP LaserJet Enterprise M606x, 775 ," 1,550 "
K0Q15A,HP LJ M607,HP LaserJet Enterprise M607dn," 1,016 "," 1,213 "
K0Q14A,HP LJ M607,HP LaserJet Enterprise M607n, 802 , 957 
K0Q18A,HP LJ M608,HP LaserJet Enterprise M608dn," 1,337 "," 1,596 "
K0Q17A,HP LJ M608,HP LaserJet Enterprise M608n," 1,123 "," 1,340 "
K0Q19A,HP LJ M608,HP LaserJet Enterprise M608x," 1,712 "," 2,043 "
K0Q20A,HP LJ M609,HP LaserJet Enterprise M609dh," 2,408 "," 2,874 "
K0Q21A,HP LJ M609,HP LaserJet Enterprise M609dn," 1,926 "," 2,299 "
K0Q22A,HP LJ M609,HP LaserJet Enterprise M609x," 2,301 "," 2,746 "
B3G84A,HP LJ M630 MFP,HP LaserJet Enterprise MFP M630dn," 1,800 "," 3,600 "
B3G86A,HP LJ M630 MFP,HP LaserJet Enterprise MFP M630z," 2,522 "," 5,044 "
B3G85A,HP LJ M630 MFP,HP LaserJet Enterprise MFP M630f," 1,690 "," 3,379 "
J8J64A,HP LJ M631 MFP,HP LaserJet Enterprise MFP M631h," 2,769 "," 3,304 "
J8J65A,HP LJ M631 MFP,HP LaserJet Enterprise MFP M631z," 4,252 "," 5,075 "
J8J70A,HP LJ M632 MFP,HP LaserJet Enterprise MFP M632h," 2,670 "," 3,186 "
J8J71A,HP LJ M632 MFP,HP LaserJet Enterprise MFP M632fht," 3,461 "," 4,131 "
J8J72A,HP LJ M632 MFP,HP LaserJet Enterprise MFP M632z," 5,142 "," 6,138 "
CZ255A,HP LJ M651,HP Color LaserJet Enterprise M651n," 1,396 "," 1,708 "
CZ256A,HP LJ M651,HP Color LaserJet Enterprise M651dn," 1,655 "," 2,025 "
CZ257A,HP LJ M651,HP Color LaserJet Enterprise M651xh," 3,103 "," 3,800 "
J7Z99A,HP LJ M652,HP Color Laserjet Enterprise M652dn," 1,379 "," 1,645 "
J7Z98A,HP LJ M652,HP Color Laserjet Enterprise M652n," 1,167 "," 1,392 "
CZ248A,HP LJ M680 MFP,HP Color LaserJet Enterprise Flow MFP M680dn," 1,786 "," 3,573 "
CZ249A,HP LJ M680 MFP,HP Color LaserJet Enterprise Flow MFP M680f," 1,695 "," 3,391 "
CZ250A,HP LJ M680 MFP,HP Color LaserJet Enterprise Flow MFP M680z," 2,290 "," 4,581 "
J8A12A,HP LJ M681 MFP,HP Color LaserJet Enterprise Flow MFP M681f," 4,055 "," 4,841 "
J8A13A,HP LJ M681 MFP,HP Color LaserJet Enterprise Flow MFP M681z," 5,668 "," 6,766 "
J8A10A,HP LJ M681 MFP,HP Color LaserJet Enterprise MFP M681dh," 3,371 "," 4,024 "
J8A11A,HP LJ M681 MFP,HP Color LaserJet Enterprise MFP M681f," 4,251 "," 5,074 "
J8A17A,HP LJ M682 MFP,HP Color LaserJet Enterprise Flow MFP M682z," 5,118 "," 7,874 "
M9L75A,HP OJ 8720,HP OfficeJet Pro 8720 All-in-One Printer, 173 , 303 
C2S11A,HP OJ X555,HP OfficeJet Enterprise Color X555dn, 200 , 400 
C2S12A,HP OJ X555,HP OfficeJet Enterprise Color X555xh, 250 , 500 
B5L04A,HP OJ X585 MFP,HP OfficeJet Enterprise Color MFP X585dn, 250 , 500 
B5L05A,HP OJ X585 MFP,HP OfficeJet Enterprise Color MFP X585f, 200 , 400 
B5L06A,HP OJ X585 MFP,HP OfficeJet Enterprise Color MFP X585z, 300 , 600 
J9V80A,HP PW 377 MFP,HP PageWide 377dw MFP, 200 , 400 
D3Q19A,HP PW 477,HP PageWide Pro MFP 477dn, 367 , 643 
D3Q20A,HP PW 477,HP PageWide Pro MFP 477dw, 367 , 643 
D3Q17A,HP PW 552,HP PageWide Pro 552dw, 367 , 643 
G1W46A,HP PW 556,HP PageWide Enterprise Color 556dn, 610 ," 1,071 "
D3Q21A,HP PW 577,HP PageWide Pro MFP 577dw, 471 , 827 
G1W39A,HP PW 586,HP PageWide Enterprise Color MFP 586dn," 1,118 "," 1,962 "
G1W40A,HP PW 586,HP PageWide Enterprise Color MFP 586f," 1,296 "," 2,274 "
G1W41A,HP PW 586,HP PageWide Enterprise Color Flow MFP 586z," 1,575 "," 2,764 "
J7Z04A,HP PW 765,HP PageWide Enterprise Color 765dn," 3,047 "," 4,218 "
Y3Z54B,HP PW 772,HP PageWide Pro MFP 772dn, 250 , 500 
Y3Z55B,HP PW 777,HP PageWide Pro MFP 777z, 350 , 700 
A7W97B,HP PW 777,HP PageWide Pro MFP 777zs, 400 , 800 
4PZ45A,HP PW 779,HP PageWide Pro MFP 779dn," 3,449 "," 6,050 "
4PZ46A,HP PW 779,HP PageWide Pro MFP 779dns," 4,130 "," 7,246 "
J7Z09A,HP PW 780,HP PageWide Enterprise Color MFP 780dn," 4,758 "," 6,588 "
J7Z10A,HP PW 780,HP PageWide Enterprise Color MFP 780dns," 5,446 "," 7,540 "
J7Z11A,HP PW 785,HP PageWide Enterprise Color Flow MFP 785f," 6,519 "," 9,026 "
J7Z12A,HP PW 785,HP PageWide Enterprise Color Flow MFP 785zs," 7,412 "," 10,262 "
W1B39A,HP PW P77740,HP PageWide Managed P77740z, 200 , 400 
W1B33D,HP PW P77740,HP PageWide Managed P77740dn, 250 , 500 
W1B37D,HP PW P77750,HP PageWide Managed P77750z, 200 , 400 
W1B41D,HP PW P77750,HP PageWide Managed P77750zs, 250 , 500
